from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P1_A2_C0,P3_A3_C0,12,0.20338983,0.14396628,1.41276018,exodus,minor,transition_exact_shape,taam_events
P5_A5_C0,P3_A2_C0,11,0.04583333,0.03149956,1.45504695,exodus,minor,transition_exact_shape,taam_events
P5_A4_C0,P2_A3_C0,11,0.055,0.05700976,0.96474708,exodus,minor,transition_exact_shape,taam_events
P2_A2_C0,P3_A2_C0,11,0.022,0.03149956,0.69842254,exodus,minor,transition_exact_shape,taam_events
P3_A2_C0,P2_A2_C0,11,0.07746479,0.11091393,0.69842254,exodus,minor,transition_exact_shape,taam_events
P4_A5_C0,P5_A4_C0,11,0.06358382,0.04436557,1.43317919,exodus,minor,transition_exact_shape,taam_events
P5_A5_C0,P5_A5_C0,11,0.04583333,0.05323869,0.86090278,exodus,minor,transition_exact_shape,taam_events
P3_A2_C0,P4_A4_C0,11,0.07746479,0.10070985,0.76918781,exodus,minor,transition_exact_shape,taam_events
P4_A4_C0,P6_A6_C0,11,0.02422907,0.02262644,1.07083009,exodus,minor,transition_exact_shape,taam_events
P6_A5_C0,P4_A4_C0,11,0.12222222,0.10070985,1.21360744,exodus,minor,transition_exact_shape,taam_events
P2_A3_C0,P3_A2_C0,10,0.03891051,0.03149956,1.23527155,exodus,minor,transition_exact_shape,taam_events
P6_A5_C0,P4_A3_C0,10,0.11111111,0.06588287,1.68649458,exodus,minor,transition_exact_shape,taam_events
